Product,Price,Quantity,Subtotal
Flysky FS-i6S 2.4GHz 10CH AFHDS 2A RC Transmitter With FS-iA10B 10CH Receiver,7766.0,1,7766.0
Pro-Range-D2207-1500KV CW Brushless Drone Motor,1257.0,4,5028.0
T Motor P18*6.1 Prop-2PCS/PAIR,7709.0,2,15418.0
A2212 Motor Prop Adapater (Collet Type),65.0,4,260.0
Emax BLHeli Series 12A ESC with Oneshot (Original),933.0,4,3732.0
NEO 7M GPS With Compass for APM 2.6/2.8 and Pixhawk 2.4.6/2.4.8,1677.0,1,1677.0
"Pro-Range INR P45B 14.8V 9000mAh 10C 4S2P 7"" FPV Drone Compact Li-ion Battery Pack with XT-60",5399.0,1,5399.0
GY-87 10DOF Sensor Module MPU6050 HMC5883L BMP180,493.0,1,493.0
MG90S 9g Servo Metal Gear - 180 Degree,244.0,4,976.0
Black Open Ended GT2 Belt Width 6mm with Steel Wire (Hard Handfeel),77.0,1,77.0
Male to Male Jumper Wires 40Pcs 20cm,46.0,1,46.0
Male to Female Jumper Wires 40Pcs 20cm,40.0,1,40.0
10CM Female to Female Breadboard Jumper DuPont 2.54MM 1P-1P Cable 40 Pcs,38.0,1,38.0
ESP8266 NodeMCU CP2102 Board,246.0,1,246.0
